('112xdxgBpCV6TCAXrJ3Cfv3cXQwGyHbH6L', 8728852413)
('121RgZZ251aJVrXJ7U4Zm3mAe72uBYZawS', 168038568)
('125ana9EZ9HJotBNnGsUqecsp7MzT9Z5Qe', 19147404880)
('12LSJoCAqvVQyvW5qaKGp6ZKMaaZpUcCv3', 10700200066)
('12QfZDTatfAbfiFmpGmFrbNiiyX9PjtYb5', 10246618717)
('12SdZk7Gd19zbvQZDF447PpHSpGY5SGYE2', 480998334741)
('12VamRhmcgsWWKWdNuzWqVYTvnuk2Dsx9b', 220562833994)
('12akYrscPUETGbHvezwLtsLcSSSp6i9qvz', 196930536)
('12bDX26J84x545pzfSZouULeqjfBtAe9Lv', 699588161502)
('12cBdcNSBHwhJy4oLWzWne2qGu74PsbhTT', 2755469940)
('12jxqC2xCdwT35dCYiUQ9ad5rNCoehzyc2', 32510178542)
('12sVF4gaKPk1kmGaG8XxtoqgLMxWXr6ReE', 5391898148)
('12y5do1mEWJcrawDq3p66Zd9NSUdWUAqYF', 500348793)
('133gqZGeP27YPqh9wXvvLy3qTs63uM4gtj', 32832211)
('134qMRPNjXbwnq73KBDyEzH3BWqgDSK8f4', 28516325028)
('138deo1VUkgWmptS8NWnBqVwqWfZx1Q494', 19889312526)
('139Dx25QXHBJD1tfLQMwASAAJrWFiM4BPz', 675537263107)
('13CsP5SArN7fPXcXkcH331PPEuzCXdo5i4', 21079411375)
('13FrZaxxAWuFUqsmRVatp88h6EKTwmUrtj', 11227826983)
('13GfTmStyPpsVf9BzUC283ngs94KEnqorX', 10041770700)
('13JpDYw1cG9kf2kPsMErNQACQfCPaGPhEN', 3787781874)
('13NRX88EZbS5q81x6XFrTECzrciPREo821', 56343027669)
('13P8CSqRoboefrNsXKZieWYtZhJ4KcQHhH', 21134827433)
('13PosdpaGPQTQ2TUkr37djsHqshpJ8k3NB', 5521622024)
('13X7yRvpDf1NKLhzsYHaghfNJQ8JpXTa7N', 89930898042)
